job_role,category,subcategory,skills,keywords
Data Scientist,technical,data_science_and_ml,"Python, R, Machine Learning, NLP, Statistics, Pandas, NumPy, Data Cleaning, Tableau, TensorFlow","analyzed, modeled, predicted, visualized, interpreted, developed, optimized, researched, implemented, reported"
Machine Learning Engineer,technical,data_science_and_ml,"Python, TensorFlow, PyTorch, Machine Learning, Deep Learning, Scikit-learn, Algorithm Design, Keras, AWS, SQL","developed, trained, deployed, optimized, designed, implemented, engineered, modeled, tested, scaled"
Data Engineer,technical,data_science_and_ml,"SQL, Python, ETL Processes, Apache Spark, Hadoop, AWS, Azure, Data Pipelines, Kafka, Scala","engineered, processed, integrated, optimized, designed, built, maintained, transformed, loaded, scaled"
AI Research Scientist,technical,data_science_and_ml,"Python, TensorFlow, PyTorch, Deep Learning, NLP, Computer Vision, Statistics, Research, MATLAB, Linux","researched, developed, published, modeled, designed, experimented, analyzed, innovated, implemented, prototyped"
Natural Language Processing Engineer,technical,data_science_and_ml,"Python, NLP, TensorFlow, PyTorch, Transformers, Text Mining, Linguistics, Spacy, BERT, Hugging Face","developed, processed, analyzed, trained, designed, implemented, optimized, engineered, extracted, modeled"
Computer Vision Engineer,technical,data_science_and_ml,"Python, OpenCV, TensorFlow, PyTorch, Image Processing, Deep Learning, CNN, Object Detection, YOLO, Computer Vision","developed, processed, detected, trained, designed, implemented, optimized, engineered, analyzed, modeled"
Deep Learning Engineer,technical,data_science_and_ml,"Python, TensorFlow, PyTorch, Deep Learning, Neural Networks, GPU Programming, Keras, Data Analysis, AWS, Linux","developed, trained, optimized, designed, implemented, engineered, modeled, deployed, researched, scaled"
Big Data Engineer,technical,data_science_and_ml,"Hadoop, Spark, Scala, SQL, Python, Kafka, Hive, Big Data, AWS, Data Lakes","engineered, processed, optimized, designed, built, integrated, scaled, maintained, analyzed, transformed"
Data Analyst,technical,data_science_and_ml,"SQL, Python, Excel, Tableau, Power BI, Data Visualization, Statistics, Data Cleaning, R, Pandas","analyzed, visualized, reported, interpreted, cleaned, modeled, extracted, presented, queried, optimized"
ML Operations Engineer (MLOps),technical,data_science_and_ml,"Python, Docker, Kubernetes, Machine Learning, CI/CD, AWS, Model Deployment, Terraform, Jenkins, Git","deployed, automated, optimized, engineered, managed, integrated, scaled, maintained, monitored, developed"
Data Science Manager,technical,data_science_and_ml,"Leadership, Python, Machine Learning, Data Strategy, Team Management, Statistics, Project Management, Tableau, R, Agile","led, managed, strategized, developed, oversaw, analyzed, mentored, implemented, optimized, delivered"
AI Product Manager,technical,data_science_and_ml,"Product Management, Machine Learning, Agile, Data Analysis, Stakeholder Management, Roadmap Planning, AI Strategy, UX Research, Python, Scrum","managed, developed, strategized, delivered, planned, collaborated, prioritized, launched, defined, optimized"
Data Visualization Specialist,technical,data_science_and_ml,"Tableau, Power BI, Python, D3.js, Data Visualization, SQL, Storytelling, Excel, R, Dashboard Design","visualized, designed, presented, analyzed, created, developed, reported, optimized, interpreted, communicated"
Business Intelligence Analyst,technical,data_science_and_ml,"SQL, Tableau, Power BI, Data Analysis, Business Intelligence, ETL, Data Modeling, Excel, Looker, Snowflake","analyzed, reported, visualized, modeled, developed, extracted, transformed, designed, interpreted, delivered"
Quantitative Analyst,technical,data_science_and_ml,"Python, R, Statistical Modeling, Financial Modeling, Risk Analysis, SQL, MATLAB, Time Series, Excel, VBA","modeled, analyzed, predicted, calculated, developed, quantified, optimized, researched, assessed, reported"
Bioinformatics Specialist,technical,data_science_and_ml,"Python, R, Bioinformatics, Genomics, Statistics, Perl, Data Analysis, Machine Learning, Bioconductor, Linux","analyzed, processed, sequenced, modeled, researched, developed, interpreted, visualized, computed, integrated"
Financial Data Scientist,technical,data_science_and_ml,"Python, SQL, Machine Learning, Financial Modeling, Risk Analysis, Time Series, Statistics, Pandas, Excel, R","analyzed, modeled, predicted, developed, optimized, researched, assessed, visualized, interpreted, forecasted"
Marketing Data Scientist,technical,data_science_and_ml,"Python, SQL, Machine Learning, Marketing Analytics, Customer Segmentation, A/B Testing, Statistics, R, Tableau, CRM","analyzed, segmented, predicted, optimized, tested, developed, modeled, visualized, interpreted, targeted"
Clinical Data Scientist,technical,data_science_and_ml,"Python, SQL, Machine Learning, Clinical Research, Statistics, Healthcare Analytics, R, Data Visualization, SAS, Tableau","analyzed, researched, modeled, interpreted, developed, visualized, validated, processed, reported, optimized"
Biostatistician,technical,data_science_and_ml,"R, SAS, Statistical Analysis, Clinical Trials, Data Analysis, Python, Biostatistics, SPSS, Data Modeling, Excel","analyzed, modeled, tested, interpreted, designed, reported, validated, researched, calculated, presented"
Software Engineer,technical,software_engineering,"Java, Python, C++, Git, OOP, APIs, Spring Boot, Unit Testing, SQL, Agile","developed, implemented, debugged, maintained, designed, coded, tested, optimized, deployed, engineered"
Full Stack Developer,technical,software_engineering,"JavaScript, React, Node.js, Python, SQL, REST APIs, HTML/CSS, TypeScript, MongoDB, Git","developed, built, designed, implemented, integrated, maintained, deployed, optimized, coded, tested"
Backend Developer,technical,software_engineering,"Python, Java, Node.js, SQL, REST APIs, Microservices, Django, PostgreSQL, AWS, Docker","developed, designed, implemented, optimized, built, maintained, deployed, integrated, engineered, scaled"
Frontend Developer,technical,software_engineering,"JavaScript, React, HTML/CSS, TypeScript, Vue.js, Angular, Webpack, UI/UX, Responsive Design, Git","developed, designed, built, implemented, optimized, created, maintained, tested, integrated, rendered"
Web Developer,technical,software_engineering,"HTML/CSS, JavaScript, PHP, Python, SQL, React, WordPress, Drupal, SEO, Git","developed, built, designed, maintained, optimized, implemented, created, tested, deployed, updated"
Mobile App Developer,technical,software_engineering,"Swift, Kotlin, React Native, Java, Flutter, UI/UX, REST APIs, iOS, Android, Git","developed, built, designed, implemented, tested, deployed, optimized, maintained, created, integrated"
Software Development Manager,technical,software_engineering,"Leadership, Agile, Scrum, Project Management, System Design, Team Management, Java, Python, Code Review, SDLC","led, managed, oversaw, developed, planned, implemented, coordinated, delivered, mentored, optimized"
Site Reliability Engineer,technical,software_engineering,"Python, Linux, AWS, Docker, Kubernetes, Monitoring, Automation, CI/CD, Prometheus, Ansible","maintained, optimized, monitored, automated, deployed, engineered, scaled, troubleshooted, implemented, ensured"
DevOps Engineer,technical,software_engineering,"Docker, Kubernetes, AWS, CI/CD, Python, Terraform, Jenkins, Linux, Ansible, Git","automated, deployed, configured, optimized, maintained, engineered, scaled, integrated, monitored, built"
Cloud Engineer,technical,software_engineering,"AWS, Azure, Google Cloud, Terraform, Docker, Kubernetes, Cloud Architecture, Python, Linux, Networking","designed, deployed, managed, optimized, configured, engineered, scaled, implemented, maintained, secured"
Software Test Engineer,technical,software_engineering,"Selenium, JUnit, Python, Test Automation, QA, JIRA, Unit Testing, Postman, Bug Tracking, Agile","tested, automated, validated, verified, reported, designed, executed, debugged, ensured, documented"
Quality Assurance Engineer,technical,software_engineering,"QA, Selenium, Python, Test Automation, JIRA, Test Planning, Bug Tracking, Postman, Agile, SQL","tested, verified, validated, designed, reported, executed, ensured, documented, automated, improved"
Technical Lead,technical,software_engineering,"Leadership, System Design, Agile, Python, Java, Code Review, Architecture, Team Management, Scrum, AWS","led, designed, developed, implemented, mentored, oversaw, architected, optimized, coordinated, delivered"
Solutions Architect,technical,software_engineering,"AWS, Azure, System Design, Cloud Architecture, Python, Microservices, TOGAF, Agile, REST APIs, SQL","designed, architected, implemented, optimized, developed, integrated, planned, deployed, consulted, scaled"
Enterprise Architect,technical,software_engineering,"TOGAF, System Design, Cloud Architecture, IT Strategy, Microservices, Agile, Stakeholder Management, AWS, Java, Leadership","architected, designed, planned, aligned, implemented, strategized, optimized, consulted, led, integrated"
Game Developer,technical,software_engineering,"Unity, C#, Unreal Engine, Game Design, 3D Modeling, Python, Physics Simulation, OpenGL, Agile, Blender","developed, designed, programmed, built, created, optimized, tested, implemented, modeled, integrated"
Blockchain Developer,technical,software_engineering,"Solidity, Ethereum, Smart Contracts, Blockchain, Python, JavaScript, Web3, Cryptography, Truffle, Node.js","developed, designed, implemented, secured, programmed, deployed, optimized, built, tested, integrated"
Embedded Systems Engineer,technical,software_engineering,"C, C++, RTOS, Microcontrollers, Embedded Systems, Firmware, Linux, I2C, SPI, Hardware Integration","developed, programmed, designed, tested, integrated, debugged, optimized, implemented, embedded, configured"
Firmware Engineer,technical,software_engineering,"C, C++, Firmware, Microcontrollers, RTOS, Embedded Systems, Hardware Integration, Debugging, ARM, I2C","developed, programmed, designed, tested, debugged, optimized, integrated, embedded, configured, maintained"
Application Developer,technical,software_engineering,"Java, Python, JavaScript, REST APIs, SQL, Agile, Spring Boot, Node.js, Git, Microservices","developed, built, designed, implemented, integrated, tested, optimized, deployed, maintained, coded"
Cybersecurity Analyst,technical,cybersecurity_and_it,"Firewalls, IDS/IPS, SIEM, Threat Detection, Kali Linux, Wireshark, Penetration Testing, Incident Response, CISSP, Network Security","secured, monitored, analyzed, detected, responded, investigated, mitigated, protected, assessed, implemented"
Network Engineer,technical,cybersecurity_and_it,"Cisco, Routing, Switching, Network Security, CCNA, TCP/IP, Firewalls, VPN, BGP, SD-WAN","configured, managed, optimized, troubleshooted, designed, implemented, monitored, maintained, secured, upgraded"
Security Engineer,technical,cybersecurity_and_it,"Network Security, Penetration Testing, Cryptography, SIEM, Cloud Security, Firewall Management, OWASP, Python, CISA, Threat Modeling","secured, designed, implemented, monitored, protected, tested, mitigated, analyzed, developed, hardened"
Cloud Security Engineer,technical,cybersecurity_and_it,"AWS, Azure, Cloud Security, IAM, Encryption, Penetration Testing, SIEM, Compliance, Terraform, Python","secured, configured, protected, monitored, implemented, designed, assessed, encrypted, optimized, complied"
Application Security Engineer,technical,cybersecurity_and_it,"Penetration Testing, OWASP, Secure Coding, Code Review, Application Security, Python, Burp Suite, Snyk, Security Testing, DevSecOps","secured, tested, analyzed, protected, implemented, reviewed, mitigated, developed, scanned, hardened"
Data Privacy Engineer,technical,cybersecurity_and_it,"GDPR, CCPA, Data Privacy, Encryption, Compliance, Python, Data Security, Risk Assessment, IAM, ISO 27001","protected, complied, assessed, implemented, secured, designed, encrypted, managed, audited, ensured"
Information Security Analyst,technical,cybersecurity_and_it,"CISSP, SIEM, Incident Response, Network Security, Penetration Testing, Firewall Management, Risk Assessment, ISO 27001, Splunk, Wireshark","secured, monitored, analyzed, responded, investigated, mitigated, protected, assessed, implemented, audited"
Penetration Tester,technical,cybersecurity_and_it,"Penetration Testing, Ethical Hacking, Metasploit, Burp Suite, Kali Linux, OWASP, Network Security, Python, Security Testing, Nmap","tested, penetrated, exploited, reported, secured, assessed, analyzed, mitigated, scanned, investigated"
Incident Response Analyst,technical,cybersecurity_and_it,"Incident Response, SIEM, Forensics, Threat Hunting, Splunk, Wireshark, Network Security, Python, Log Analysis, Cybersecurity","responded, investigated, mitigated, analyzed, recovered, monitored, reported, secured, detected, resolved"
Threat Intelligence Analyst,technical,cybersecurity_and_it,"Threat Intelligence, SIEM, Network Security, Python, Threat Hunting, Malware Analysis, Cybersecurity, Splunk, OSINT, Dark Web","analyzed, monitored, detected, reported, investigated, assessed, tracked, researched, mitigated, secured"
Network Security Engineer,technical,cybersecurity_and_it,"Firewalls, IDS/IPS, Network Security, Cisco, VPN, CCNP, Palo Alto, Fortinet, Check Point, SD-WAN","secured, configured, monitored, implemented, designed, protected, optimized, troubleshooted, maintained, upgraded"
IT Consultant,technical,cybersecurity_and_it,"IT Strategy, Cloud Computing, Cybersecurity, Project Management, Network Design, Business Analysis, Azure, AWS, Stakeholder Management, Agile","consulted, designed, implemented, strategized, optimized, advised, planned, integrated, supported, delivered"
